# order, q, snr, area
# failed 1,8, xxx, xxx
# failed 1,9, xxx, xxx
# failed 1,10, xxx, xxx
# failed 1,11, xxx, xxx
# failed 1,12, xxx, xxx
# failed 1,13, xxx, xxx
# failed 1,14, xxx, xxx
# failed 1,15, xxx, xxx
# failed 1,16, xxx, xxx
# failed 1,17, xxx, xxx
# failed 1,18, xxx, xxx
# failed 1,19, xxx, xxx
# failed 2,8, xxx, xxx
# failed 2,9, xxx, xxx
# failed 2,10, xxx, xxx
# failed 2,11, xxx, xxx
# failed 2,12, xxx, xxx
# failed 2,13, xxx, xxx
# failed 2,14, xxx, xxx
# failed 2,15, xxx, xxx
# failed 2,16, xxx, xxx
# failed 2,17, xxx, xxx
# failed 2,18, xxx, xxx
# failed 2,19, xxx, xxx
3,8,"79,5559877171185",15239
3,9,"81,3078212719659",18400
3,10,"78,8929415640791",24083
3,11,"82,2966519557543",30489
3,12,"89,6886976428466",40720
3,13,"95,977334619654",44242
3,14,"101,480407541232",44654
3,15,"111,219083771251",57520
3,16,"118,646995564245",55391
3,17,"115,811428662742",60899
3,18,"127,878909169973",75673
3,19,"120,20934620255",90853
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
5,8,"76,1188713763339",26963
5,9,"73,1335807053981",32975
5,10,"73,3279257456853",42042
5,11,"87,3835327701762",46130
5,12,"87,3587292852981",54252
5,13,"93,2062571385712",59166
5,14,"99,6783021274384",72877
5,15,"116,833111752546",98484
5,16,"112,429378775937",103924
5,17,"121,328842086558",119749
5,18,"125,248134892914",131459
5,19,"138,915788700659",148208
6,8,"70,0602944710626",31214
6,9,"74,6956206334986",42600
6,10,"75,6408323121035",53050
6,11,"82,6383604046906",58787
6,12,"91,2030430256073",67265
6,13,"95,2603627625074",88030
6,14,"101,703154653074",104885
6,15,"110,446940310454",116595
6,16,"112,625799087342",126701
6,17,"117,404060601879",156635
6,18,"124,009033919798",161655
6,19,"133,248135761784",165547
7,8,"67,3543739008887",29484
7,9,"75,5331951833736",39545
7,10,"71,9857681499826",45733
7,11,"82,5185589286654",57311
7,12,"88,1359486803791",79000
7,13,"89,5775890889462",85918
7,14,"99,8426128269726",100238
7,15,"107,704581943006",120249
7,16,"107,809720202039",137186
7,17,"113,828365471498",147142
7,18,"119,578243146136",164083
7,19,"124,825789636765",197879
